iter	Passed	Remaining
915	11296	1035
916	11309	1023
917	11321	1011
918	11333	998
919	11345	986
920	11358	974
921	11370	961
922	11383	949
923	11396	937
924	11409	925
925	11421	912
926	11433	900
927	11445	888
928	11457	875
929	11470	863
930	11482	851
931	11494	838
932	11506	826
933	11519	813
934	11531	801
935	11543	789
936	11555	776
937	11567	764
938	11579	752
939	11592	739
940	11604	727
941	11616	715
942	11628	702
943	11641	690
944	11653	678
945	11665	665
946	11677	653
947	11689	641
948	11702	628
949	11714	616
950	11726	604
951	11738	591
952	11750	579
953	11762	567
954	11774	554
955	11787	542
956	11799	530
957	11811	517
958	11823	505
959	11837	493
960	11849	480
961	11861	468
962	11874	456
963	11886	443
964	11898	431
965	11911	419
966	11923	406
967	11935	394
968	11947	382
969	11959	369
970	11972	357
971	11984	345
972	11996	332
973	12008	320
974	12021	308
975	12033	295
976	12045	283
977	12058	271
978	12070	258
979	12082	246
980	12094	234
981	12106	221
982	12118	209
983	12131	197
984	12143	184
985	12155	172
986	12168	160
987	12180	147
988	12192	135
989	12204	123
990	12216	110
991	12229	98
992	12241	86
993	12253	73
994	12265	61
995	12278	49
996	12290	36
997	12302	24
998	12314	12
999	12326	0
